Zipcode,County,City,Fips
94545,Alameda,Hayward,06001
94587,Alameda,Union City,06001
94586,Alameda,Sunol,06001
94702,Alameda,Berkeley,06001
94703,Alameda,Berkeley,06001
94580,Alameda,San Lorenzo,06001
94579,Alameda,San Leandro,06001
94578,Alameda,San Leandro,06001
94577,Alameda,San Leandro,06001
94704,Alameda,Berkeley,06001
94705,Alameda,Berkeley,06001
94706,Alameda,Albany,06001
94707,Alameda,Berkeley,06001
94588,Alameda,Pleasanton,06001
94568,Alameda,Dublin,06001
94708,Alameda,Berkeley,06001
94709,Alameda,Berkeley,06001
94710,Alameda,Berkeley,06001
94712,Alameda,Berkeley,06001
94560,Alameda,Newark,06001
94557,Alameda,Hayward,06001
94555,Alameda,Fremont,06001
94720,Alameda,Berkeley,06001
94552,Alameda,Castro Valley,06001
94551,Alameda,Livermore,06001
94659,Alameda,Oakland,06001
94546,Alameda,Castro Valley,06001
94566,Alameda,Pleasanton,06001
94544,Alameda,Hayward,06001
94701,Alameda,Berkeley,06001
94662,Alameda,Emeryville,06001
94649,Alameda,Oakland,06001
94625,Alameda,Oakland,06001
94624,Alameda,Oakland,06001
94623,Alameda,Oakland,06001
94622,Alameda,Oakland,06001
94621,Alameda,Oakland,06001
94620,Alameda,Piedmont,06001
94619,Alameda,Oakland,06001
94618,Alameda,Oakland,06001
94617,Alameda,Oakland,06001
94615,Alameda,Oakland,06001
94614,Alameda,Oakland,06001
94666,Alameda,Oakland,06001
94613,Alameda,Oakland,06001
94611,Alameda,Oakland,06001
94610,Alameda,Oakland,06001
94609,Alameda,Oakland,06001
94608,Alameda,Emeryville,06001
94607,Alameda,Oakland,06001
94606,Alameda,Oakland,06001
94605,Alameda,Oakland,06001
94604,Alameda,Oakland,06001
94603,Alameda,Oakland,06001
94602,Alameda,Oakland,06001
94601,Alameda,Oakland,06001
94661,Alameda,Oakland,06001
94612,Alameda,Oakland,06001
94543,Alameda,Hayward,06001
94550,Alameda,Livermore,06001
94660,Alameda,Oakland,06001
94542,Alameda,Hayward,06001
94538,Alameda,Fremont,06001
94539,Alameda,Fremont,06001
94540,Alameda,Hayward,06001
94541,Alameda,Hayward,06001
94536,Alameda,Fremont,06001
94502,Alameda,Alameda,06001
94501,Alameda,Alameda,06001
94537,Alameda,Fremont,06001
96120,Alpine,Markleeville,06003
95646,Alpine,Kirkwood,06003
95640,Amador,Ione,06005
95642,Amador,Jackson,06005
95654,Amador,Martell,06005
95601,Amador,Amador City,06005
95665,Amador,Pine Grove,06005
95666,Amador,Pioneer,06005
95644,Amador,Kit Carson,06005
95629,Amador,Fiddletown,06005
95675,Amador,River Pines,06005
95685,Amador,Sutter Creek,06005
95689,Amador,Volcano,06005
95699,Amador,Drytown,06005
95669,Amador,Plymouth,06005
95967,Butte,Paradise,06007
95968,Butte,Palermo,06007
95969,Butte,Paradise,06007
95973,Butte,Chico,06007
95974,Butte,Richvale,06007
95976,Butte,Chico,06007
95978,Butte,Stirling City,06007
95958,Butte,Nelson,06007
95954,Butte,Magalia,06007
95966,Butte,Oroville,06007
95917,Butte,Biggs,06007
95965,Butte,Oroville,06007
95927,Butte,Chico,06007
95928,Butte,Chico,06007
95914,Butte,Bangor,06007
95929,Butte,Chico,06007
95930,Butte,Clipper Mills,06007
95926,Butte,Chico,06007
95938,Butte,Durham,06007
95916,Butte,Berry Creek,06007
95942,Butte,Forest Ranch,06007
95948,Butte,Gridley,06007
95941,Butte,Forbestown,06007
95940,Butte,Feather Falls,06007
95222,Calaveras,Angels Camp,06009
95247,Calaveras,Murphys,06009
95224,Calaveras,Avery,06009
95225,Calaveras,Burson,06009
95226,Calaveras,Campo Seco,06009
95228,Calaveras,Copperopolis,06009
95229,Calaveras,Douglas Flat,06009
95232,Calaveras,Glencoe,06009
95233,Calaveras,Hathaway Pines,06009
95245,Calaveras,Mokelumne Hill,06009
95246,Calaveras,Mountain Ranch,06009
95221,Calaveras,Altaville,06009
95223,Calaveras,Arnold,06009
95251,Calaveras,Vallecito,06009
95249,Calaveras,San Andreas,06009
95250,Calaveras,Sheep Ranch,06009
95252,Calaveras,Valley Springs,06009
95254,Calaveras,Wallace,06009
95255,Calaveras,West Point,06009
95257,Calaveras,Wilseyville,06009
95248,Calaveras,Rail Road Flat,06009
95932,Colusa,Colusa,06011
95970,Colusa,Princeton,06011
95987,Colusa,Williams,06011
95912,Colusa,Arbuckle,06011
95950,Colusa,Grimes,06011
95979,Colusa,Stonyford,06011
95955,Colusa,Maxwell,06011
94803,Contra Costa,El Sobrante,06013
94802,Contra Costa,Richmond,06013
94801,Contra Costa,Richmond,06013
94804,Contra Costa,Richmond,06013
94564,Contra Costa,Pinole,06013
94597,Contra Costa,Walnut Creek,06013
94526,Contra Costa,Danville,06013
94525,Contra Costa,Crockett,06013
94524,Contra Costa,Concord,06013
94523,Contra Costa,Pleasant Hill,06013
94522,Contra Costa,Concord,06013
94521,Contra Costa,Concord,06013
94520,Contra Costa,Concord,06013
94519,Contra Costa,Concord,06013
94518,Contra Costa,Concord,06013
94517,Contra Costa,Clayton,06013
94516,Contra Costa,Canyon,06013
94514,Contra Costa,Byron,06013
94513,Contra Costa,Brentwood,06013
94511,Contra Costa,Bethel Island,06013
94509,Contra Costa,Antioch,06013
94507,Contra Costa,Alamo,06013
94506,Contra Costa,Danville,06013
94527,Contra Costa,Concord,06013
94598,Contra Costa,Walnut Creek,06013
94528,Contra Costa,Diablo,06013
94530,Contra Costa,El Cerrito,06013
94596,Contra Costa,Walnut Creek,06013
94595,Contra Costa,Walnut Creek,06013
94583,Contra Costa,San Ramon,06013
94582,Contra Costa,San Ramon,06013
94575,Contra Costa,Moraga,06013
94572,Contra Costa,Rodeo,06013
94570,Contra Costa,Moraga,06013
94569,Contra Costa,Port Costa,06013
94565,Contra Costa,Pittsburg,06013
94805,Contra Costa,Richmond,06013
94563,Contra Costa,Orinda,06013
94561,Contra Costa,Oakley,06013
94553,Contra Costa,Martinez,06013
94549,Contra Costa,Lafayette,06013
94548,Contra Costa,Knightsen,06013
94547,Contra Costa,Hercules,06013
94531,Contra Costa,Antioch,06013
94529,Contra Costa,Concord,06013
94806,Contra Costa,San Pablo,06013
94556,Contra Costa,Moraga,06013
94808,Contra Costa,Richmond,06013
94820,Contra Costa,El Sobrante,06013
94850,Contra Costa,Richmond,06013
94807,Contra Costa,Richmond,06013
95567,Del Norte,Smith River,06015
95538,Del Norte,Fort Dick,06015
95532,Del Norte,Crescent City,06015
95531,Del Norte,Crescent City,06015
95548,Del Norte,Klamath,06015
95543,Del Norte,Gasquet,06015
96150,El Dorado,South Lake Tahoe,06017
96158,El Dorado,South Lake Tahoe,06017
96157,El Dorado,South Lake Tahoe,06017
96156,El Dorado,South Lake Tahoe,06017
95613,El Dorado,Coloma,06017
95619,El Dorado,Diamond Springs,06017
96155,El Dorado,South Lake Tahoe,06017
96154,El Dorado,South Lake Tahoe,06017
95623,El Dorado,El Dorado,06017
95633,El Dorado,Garden Valley,06017
95634,El Dorado,Georgetown,06017
95635,El Dorado,Greenwood,06017
95636,El Dorado,Grizzly Flats,06017
96151,El Dorado,South Lake Tahoe,06017
95651,El Dorado,Lotus,06017
95664,El Dorado,Pilot Hill,06017
95667,El Dorado,Placerville,06017
95672,El Dorado,Rescue,06017
96152,El Dorado,South Lake Tahoe,06017
95684,El Dorado,Somerset,06017
95709,El Dorado,Camino,06017
95720,El Dorado,Kyburz,06017
95721,El Dorado,Echo Lake,06017
95726,El Dorado,Pollock Pines,06017
95735,El Dorado,Twin Bridges,06017
95762,El Dorado,El Dorado Hills,06017
96142,El Dorado,Tahoma,06017
95656,El Dorado,Mount Aukum,06017
95682,El Dorado,Shingle Springs,06017
95614,El Dorado,Cool,06017
93654,Fresno,Reedley,06019
93745,Fresno,Fresno,06019
93744,Fresno,Fresno,06019
93741,Fresno,Fresno,06019
93740,Fresno,Fresno,06019
93730,Fresno,Fresno,06019
93729,Fresno,Fresno,06019
93728,Fresno,Fresno,06019
93727,Fresno,Fresno,06019
93747,Fresno,Fresno,06019
93726,Fresno,Fresno,06019
93724,Fresno,Fresno,06019
93723,Fresno,Fresno,06019
93722,Fresno,Fresno,06019
93721,Fresno,Fresno,06019
93720,Fresno,Fresno,06019
93718,Fresno,Fresno,06019
93717,Fresno,Fresno,06019
93716,Fresno,Fresno,06019
93725,Fresno,Fresno,06019
93715,Fresno,Fresno,06019
93750,Fresno,Fresno,06019
93760,Fresno,Fresno,06019
93776,Fresno,Fresno,06019
93775,Fresno,Fresno,06019
93774,Fresno,Fresno,06019
93773,Fresno,Fresno,06019
93772,Fresno,Fresno,06019
93771,Fresno,Fresno,06019
93765,Fresno,Fresno,06019
93764,Fresno,Fresno,06019
93755,Fresno,Fresno,06019
93761,Fresno,Fresno,06019
93234,Fresno,Huron,06019
93242,Fresno,Laton,06019
93602,Fresno,Auberry,06019
93605,Fresno,Big Creek,06019
93606,Fresno,Biola,06019
93607,Fresno,Burrel,06019
93608,Fresno,Cantua Creek,06019
93609,Fresno,Caruthers,06019
93210,Fresno,Coalinga,06019
93611,Fresno,Clovis,06019
93714,Fresno,Fresno,06019
93612,Fresno,Clovis,06019
93708,Fresno,Fresno,06019
93707,Fresno,Fresno,06019
93650,Fresno,Fresno,06019
93706,Fresno,Fresno,06019
93705,Fresno,Fresno,06019
93704,Fresno,Fresno,06019
93703,Fresno,Fresno,06019
93702,Fresno,Fresno,06019
93709,Fresno,Fresno,06019
93701,Fresno,Fresno,06019
93668,Fresno,Tranquillity,06019
93667,Fresno,Tollhouse,06019
93664,Fresno,Shaver Lake,06019
93662,Fresno,Selma,06019
93660,Fresno,San Joaquin,06019
93657,Fresno,Sanger,06019
93651,Fresno,Prather,06019
93656,Fresno,Riverdale,06019
93675,Fresno,Squaw Valley,06019
93649,Fresno,Piedra,06019
93711,Fresno,Fresno,06019
93648,Fresno,Parlier,06019
93613,Fresno,Clovis,06019
93616,Fresno,Del Rey,06019
93619,Fresno,Clovis,06019
93621,Fresno,Dunlap,06019
93622,Fresno,Firebaugh,06019
93624,Fresno,Five Points,06019
93625,Fresno,Fowler,06019
93626,Fresno,Friant,06019
93712,Fresno,Fresno,06019
93627,Fresno,Helm,06019
93628,Fresno,Hume,06019
93630,Fresno,Kerman,06019
93631,Fresno,Kingsburg,06019
93634,Fresno,Lakeshore,06019
93640,Fresno,Mendota,06019
93641,Fresno,Miramonte,06019
93642,Fresno,Mono Hot Springs,06019
93646,Fresno,Orange Cove,06019
93777,Fresno,Fresno,06019
93652,Fresno,Raisin City,06019
93778,Fresno,Fresno,06019
93710,Fresno,Fresno,06019
93780,Fresno,Fresno,06019
93784,Fresno,Fresno,06019
93786,Fresno,Fresno,06019
93790,Fresno,Fresno,06019
93791,Fresno,Fresno,06019
93792,Fresno,Fresno,06019
93793,Fresno,Fresno,06019
93794,Fresno,Fresno,06019
93844,Fresno,Fresno,06019
93888,Fresno,Fresno,06019
93779,Fresno,Fresno,06019
95951,Glenn,Hamilton City,06021
95943,Glenn,Glenn,06021
95939,Glenn,Elk Creek,06021
95920,Glenn,Butte City,06021
95913,Glenn,Artois,06021
95988,Glenn,Willows,06021
95963,Glenn,Orland,06021
95549,Humboldt,Kneeland,06023
95551,Humboldt,Loleta,06023
95553,Humboldt,Miranda,06023
95554,Humboldt,Myers Flat,06023
95556,Humboldt,Orleans,06023
95558,Humboldt,Petrolia,06023
95550,Humboldt,Korbel,06023
95555,Humboldt,Orick,06023
95542,Humboldt,Garberville,06023
95546,Humboldt,Hoopa,06023
95545,Humboldt,Honeydew,06023
95559,Humboldt,Phillipsville,06023
95540,Humboldt,Fortuna,06023
95537,Humboldt,Fields Landing,06023
95536,Humboldt,Ferndale,06023
95534,Humboldt,Cutten,06023
95528,Humboldt,Carlotta,06023
95526,Humboldt,Bridgeville,06023
95525,Humboldt,Blue Lake,06023
95524,Humboldt,Bayside,06023
95521,Humboldt,Arcata,06023
95519,Humboldt,Mckinleyville,06023
95518,Humboldt,Arcata,06023
95547,Humboldt,Hydesville,06023
95560,Humboldt,Redway,06023
95503,Humboldt,Eureka,06023
95564,Humboldt,Samoa,06023
95562,Humboldt,Rio Dell,06023
95501,Humboldt,Eureka,06023
95502,Humboldt,Eureka,06023
95514,Humboldt,Blocksburg,06023
95589,Humboldt,Whitethorn,06023
95511,Humboldt,Alderpoint,06023
95571,Humboldt,Weott,06023
95570,Humboldt,Trinidad,06023
95569,Humboldt,Redcrest,06023
95565,Humboldt,Scotia,06023
95573,Humboldt,Willow Creek,06023
92259,Imperial,Ocotillo,06025
92266,Imperial,Palo Verde,06025
92273,Imperial,Seeley,06025
92275,Imperial,Salton City,06025
92281,Imperial,Westmorland,06025
92283,Imperial,Winterhaven,06025
92249,Imperial,Heber,06025
92244,Imperial,El Centro,06025
92243,Imperial,El Centro,06025
92233,Imperial,Calipatria,06025
92231,Imperial,Calexico,06025
92222,Imperial,Bard,06025
92250,Imperial,Holtville,06025
92232,Imperial,Calexico,06025
92227,Imperial,Brawley,06025
92251,Imperial,Imperial,06025
92257,Imperial,Niland,06025
