County,Population
Los Angeles,10079000
San Diego,3379160
Orange,3198000
Riverside,2517830
San Bernardino,2208400
Santa Clara,1945940
Alameda,1684000
Sacramento,1567490
Contra Costa,1160920
Fresno,1010120
Kern,912316
San Francisco,891583
Ventura,851297
San Joaquin,772948
San Mateo,771019
Stanislaus,558911
Sonoma,493334
Tulare,471389
Solano,452076
Santa Barbara,448369
Monterey,435828
Placer,408317
San Luis Obispo,286354
Merced,281615
Santa Cruz,272555
Marin,259548
Butte,235354
Yolo,224472
El Dorado,194590
Imperial,182333
Shasta,181042
Madera,161208
Kings,154706
Napa,137479
Humboldt,136065
Nevada,100082
Sutter,97545
Mendocino,87424
Yuba,80573
Lake,64822
Tehama,64312
San Benito,64213
Tuolumne,55539
Calaveras,45522
Siskiyou,43604
Amador,41047
Lassen,30160
Del Norte,28628
Glenn,28229
Colusa,21531
Plumas,18932
Inyo,18065
Mariposa,17539
Mono,14280
Trinity,12153
Modoc,8635
Sierra,2943
Alpine,1061
