County,Home_value,Population,Hospital,Hopt_score,School_district,Edu_score,Fips,Sample_city,Latitude,Longitude,Area_avg_hopt,Area_best_hopt,Area_avg_edu,Area_best_edu
San Mateo,1714804.74,771019,7.0,53.53,6.0,3.38,06081,San Mateo,37.570384999999995,-122.32043999999999,72.408,94.3,3.44,3.7
Marin,1697171.79,259548,4.0,32.7,4.0,3.32,06041,Novato,38.117065000000004,-122.56316000000001,54.59400000000001,94.3,3.306,3.7
Santa Clara,1666927.08,1945940,12.0,81.89,11.0,3.69,06085,Palo Alto,37.381144,-122.334825,63.102,94.3,3.4619999999999997,3.7
Orange,1154432.99,3198000,31.0,200.64,13.0,3.84,06059,Trabuco Canyon,33.639227000000005,-117.58518000000001,95.534,200.64,3.336,3.84
Alameda,1118288.28,1684000,17.0,53.53,11.0,3.28,06001,Hayward,37.635582,-122.10418,72.408,94.3,3.44,3.7
San Francisco,1113664.0,891583,14.0,94.3,1.0,3.7,06075,San Francisco,37.784827,-122.727802,68.24199999999999,94.3,3.4479999999999995,3.7
Napa,1104420.12,137479,3.0,32.26,3.0,3.2,06055,Saint Helena,38.511241,-122.45695,42.45200000000001,78.79,3.178,3.32
Ventura,996715.9,851297,8.0,41.56,8.0,3.5,06111,Piru,34.424363,-118.73908,72.228,200.64,3.344,3.84
Los Angeles,956710.11,10079000,101.0,345.99,42.0,3.57,06037,Alhambra,38.884434000000006,-89.74886,99.968,345.99,2.868,3.57
Santa Barbara,951777.21,448369,6.0,40.68,6.0,3.07,06083,Santa Barbara,34.428191,-119.68412,38.552,44.67,3.176,3.5
Santa Cruz,826179.42,272555,3.0,32.26,5.0,3.26,06087,Scotts Valley,37.05297,-121.949418,50.516000000000005,81.89,3.282,3.69
Contra Costa,801482.13,1160920,8.0,78.79,8.0,3.15,06013,El Sobrante,37.969673,-122.29413000000001,62.57000000000001,94.3,3.3659999999999997,3.7
Sonoma,763275.07,493334,9.0,34.92,11.0,3.16,06097,Rio Nido,38.522498999999996,-122.97967,45.2,94.3,3.2560000000000002,3.7
San Luis Obispo,686071.25,286354,6.0,33.59,4.0,3.4,06079,San Luis Obispo,35.347065,-120.455345,39.44,46.0,3.176,3.5
San Diego,667722.9,3379160,26.0,146.58,15.0,3.43,06073,Fallbrook,33.016928,-116.846046,95.53399999999999,200.64,3.336,3.84
San Benito,646318.94,64213,1.0,31.37,3.0,2.8,06069,Paicines,36.504585999999996,-121.01515,35.184,46.0,3.062,3.5
Monterey,638209.33,435828,4.0,46.0,4.0,3.5,06053,Jolon,36.015388,-121.24838999999999,35.096,46.0,3.1919999999999997,3.5
Placer,615520.86,408317,3.0,49.98,3.0,3.77,06061,Lincoln,40.784451000000004,-96.688799,98.726,345.99,3.072,3.77
Alpine,606164.08,1061,0.0,0.0,0.0,0.0,06003,Markleeville,38.76467,-119.85236,25.276,31.82,2.5200000000000005,3.3
Solano,529907.11,452076,6.0,33.59,5.0,3.06,06095,Travis Afb,38.3105,-121.9018,53.617999999999995,90.75,3.1380000000000003,3.32
