Edu_district,City,County
Abc Unified School District,Cerritos,Los Angeles
Acalanes Union High School District,Lafayette,Contra Costa
Ackerman Charter School District,Auburn,Placer
Acton-Agua Dulce Unified School District,Acton,Los Angeles
Adelanto Elementary School District,Adelanto,San Bernardino
Alameda County Office of Education,Hayward,Alameda
Alameda Unified School District,Alameda,Alameda
Albany City Unified School District,Albany,Alameda
Alexander Valley Union Elementary School District,Healdsburg,Sonoma
Alhambra Unified School District,Alhambra,Los Angeles
Alisal Union School District,Salinas,Monterey
Allensworth Elementary School District,Allensworth,Tulare
Alpaugh Unified School District,Alpaugh,Tulare
Alpine County Office Of Education School District,Markleeville,Alpine
Alpine County Unified School District,Markleeville,Alpine
Alpine Union Elementary School District,Alpine,San Diego
Alta Loma Elementary School District,Alta Loma,San Bernardino
Alta Vista Elementary School District,Porterville,Tulare
Alta-Dutch Flat Union Elementary School District,Alta,Placer
Alum Rock Union Elementary School District,San Jose,Santa Clara
Alview-Dairyland Union Elementary School District,Chowchilla,Madera
Alvina Elementary School District,Caruthers,Fresno
Alvord Unified School District,Corona,Riverside
Amador County Office Of Education School District,Jackson,Amador
Amador County Rop School District,Jackson,Amador
Amador County Unified School District,Jackson,Amador
Anaheim Elementary School District,Anaheim,Orange
Anaheim Union High School District,Anaheim,Orange
Anderson Union High School District,Anderson,Shasta
Anderson Valley Unified School District,Boonville,Mendocino
Antelope Elementary School District,Red Bluff,Tehama
Antelope Valley Rop School District,Palmdale,Los Angeles
Antelope Valley Union High School District,Lancaster,Los Angeles
Antioch Unified School District,Antioch,Contra Costa
Apple Valley Unified School District,Apple Valley,San Bernardino
Arcadia Unified School District,Arcadia,Los Angeles
Arcata Elementary School District,Arcata,Humboldt
Arcohe Union Elementary School District,Herald,Sacramento
Arena Union Elementary School District,Point Arena,Mendocino
Armona Union Elementary School District,Armona,Kings
Aromas - San Juan Unified School District,San Juan Bautista,San Benito
Arvin Union School District,Arvin,Kern
Atascadero Unified School District,Atascadero,San Luis Obispo
Atwater Elementary School District,Atwater,Merced
Auburn Union Elementary School District,Auburn,Placer
Azusa Unified School District,Azusa,Los Angeles
Baker Valley Unified School District,Baker,San Bernardino
Bakersfield City School District,Bakersfield,Kern
Baldwin Park Unified School District,Baldwin Park,Los Angeles
Baldy View Rop School District,Ontario,San Bernardino
Ballard Elementary School District,Solvang,Santa Barbara
Ballico-Cressey Elementary School District,Ballico,Merced
