County,City,Region_id,Collect_date,Home_value
 Shasta,Palo Cedro,9940,2020-10-31,448609.0
 Shasta,Palo Cedro,9940,2020-09-30,442865.0
 Shasta,Palo Cedro,9940,2020-08-31,438995.0
 Shasta,Palo Cedro,9940,2020-07-31,438315.0
 Shasta,Palo Cedro,9940,2020-06-30,436206.0
 Shasta,Palo Cedro,9940,2020-05-31,433066.0
 Shasta,Palo Cedro,9940,2020-04-30,430040.0
 Shasta,Palo Cedro,9940,2020-03-31,426667.0
 Shasta,Palo Cedro,9940,2020-02-29,423628.0
 Shasta,Palo Cedro,9940,2020-01-31,421949.0
 Shasta,Palo Cedro,9940,2019-12-31,420339.0
 Shasta,Palo Cedro,9940,2019-11-30,418795.0
 San Diego,Jacumba,9931,2020-10-31,205404.0
 San Diego,Jacumba,9931,2020-09-30,202891.0
 San Diego,Jacumba,9931,2020-08-31,200386.0
 San Diego,Jacumba,9931,2020-07-31,198238.0
 San Diego,Jacumba,9931,2020-06-30,214057.0
 San Diego,Jacumba,9931,2020-05-31,195494.0
 San Diego,Jacumba,9931,2020-04-30,189184.0
 San Diego,Jacumba,9931,2020-03-31,184549.0
 San Diego,Jacumba,9931,2020-02-29,180060.0
 San Diego,Jacumba,9931,2020-01-31,176246.0
 San Diego,Jacumba,9931,2019-12-31,172732.0
 San Diego,Jacumba,9931,2019-11-30,170160.0
 Tulare,Ducor,9889,2020-10-31,190054.0
 Tulare,Ducor,9889,2020-09-30,186466.0
 Tulare,Ducor,9889,2020-08-31,181567.0
 Tulare,Ducor,9889,2020-07-31,175714.0
 Tulare,Ducor,9889,2020-06-30,172615.0
 Tulare,Ducor,9889,2020-05-31,172090.0
 Tulare,Ducor,9889,2020-04-30,160002.0
 Tulare,Ducor,9889,2020-03-31,157873.0
 Tulare,Ducor,9889,2020-02-29,155880.0
 Tulare,Ducor,9889,2020-01-31,155218.0
 Tulare,Ducor,9889,2019-12-31,155846.0
 Tulare,Ducor,9889,2019-11-30,157164.0
 Glenn,Elk Creek,9878,2020-10-31,204430.0
 Glenn,Elk Creek,9878,2020-09-30,204313.0
 Glenn,Elk Creek,9878,2020-08-31,204022.0
 Glenn,Elk Creek,9878,2020-07-31,200422.0
 Glenn,Elk Creek,9878,2020-06-30,205888.0
 Glenn,Elk Creek,9878,2020-05-31,202037.0
 Glenn,Elk Creek,9878,2020-04-30,205872.0
 Glenn,Elk Creek,9878,2020-03-31,206698.0
 Glenn,Elk Creek,9878,2020-02-29,206372.0
 Glenn,Elk Creek,9878,2020-01-31,205428.0
 Glenn,Elk Creek,9878,2019-12-31,204603.0
 Glenn,Elk Creek,9878,2019-11-30,204198.0
 Los Angeles,Agoura Hills,9840,2020-10-31,1005827.0
 Los Angeles,Agoura Hills,9840,2020-09-30,994534.0
 Los Angeles,Agoura Hills,9840,2020-08-31,981540.0
 Los Angeles,Agoura Hills,9840,2020-07-31,966438.0
 Los Angeles,Agoura Hills,9840,2020-06-30,990821.0
 Los Angeles,Agoura Hills,9840,2020-05-31,972593.0
 Los Angeles,Agoura Hills,9840,2020-04-30,998201.0
 Los Angeles,Agoura Hills,9840,2020-03-31,993055.0
 Los Angeles,Agoura Hills,9840,2020-02-29,988257.0
 Los Angeles,Agoura Hills,9840,2020-01-31,982791.0
 Los Angeles,Agoura Hills,9840,2019-12-31,979699.0
 Los Angeles,Agoura Hills,9840,2019-11-30,976274.0
 Riverside,White Water,9805,2020-10-31,248641.0
 Riverside,White Water,9805,2020-09-30,244804.0
 Riverside,White Water,9805,2020-08-31,241117.0
 Riverside,White Water,9805,2020-07-31,228635.0
 Riverside,White Water,9805,2020-06-30,233778.0
